label,timestep_index,datetime,elapsed_hours,elapsed_min,phase,fire_active,diurnal_factor,suppression_factor,spatial_heterogeneity,crown_method,ros_surface_m_min,ros_surface_diurnal,ros_final_m_min,burning_index,erc,crown_fire,new_spot_fires,total_spot_fires,area_km2,perimeter_km,sat_ratio,dadt_m2,burnout_k,decay_step,moist_1h_dynamic,moist_10h_dynamic,moist_lh_dynamic,emc,wind_speed_10m_mph,wind_meas_height_m,wind_midflame_mph,waf,temp_f,temp_f_corrected,elevation_m,humidity_pct,precipitation_mm,cloud_cover_pct,flame_height_m,n_substeps,n_structures_at_risk,ignition_susceptibility,ember_intrusion_risk,residential_exposure,structural_loss_index,spot_amplification,road_count,total_road_length_m,nearest_road_m,road_density_m_per_km2,road_density_km_per_km2,frac_paved,frac_high_capacity,auto_suppression_onset_h,auto_suppression_duration_h
ignition_001,0,2024-10-27 17:00:00,0.0,0,growth,True,0.956,1.0,True,vanWagner,2.5,2.391146,3.825833,574.93,88.99,passive,0,0,0.016628,0.5748,0.98113,16314.0,0.0,0,0.0869,0.0999,0.6,0.0975,14.6,10.0,9.007,0.6916,51.3,51.3,2046.8,48.0,0.0,0.0,5.188,1,42,0.3491,0.6248,0.9212,0.0256,1.0121,159.0,50480.0,38.0,4017.1,1.898,0.226,0.044,4.6,6.0
ignition_001,1,2024-10-27 17:30:00,0.5,30,growth,True,0.956,1.0,True,vanWagner,2.5,2.391146,3.825833,573.05,88.3,passive,0,0,0.051791,1.0559,0.678944,35163.1,0.0,0,0.0911,0.0998,0.6,0.0975,14.6,10.0,9.007,0.6916,51.3,51.3,2046.8,48.0,0.0,0.0,5.171,1,43,0.3491,0.6248,0.9212,0.0262,1.0123,159.0,50480.0,38.0,4017.1,1.898,0.226,0.044,4.6,6.0
ignition_001,2,2024-10-27 18:00:00,1.0,60,growth,True,0.905,1.0,True,vanWagner,2.5,2.262024,3.619239,556.32,87.89,passive,0,0,0.110292,1.5525,0.530419,58500.9,0.0,0,0.0936,0.0997,0.6,0.0974,18.1,10.0,11.166,0.6916,52.9,52.9,2046.8,48.0,0.0,0.0,5.161,1,45,0.3491,0.6248,0.9212,0.0276,1.0128,159.0,50480.0,38.0,4017.1,1.898,0.226,0.044,4.6,6.0
ignition_001,3,2024-10-27 18:30:00,1.5,90,growth,True,0.905,1.0,True,vanWagner,2.5,2.262024,3.619239,555.71,87.65,passive,0,0,0.202623,2.2816,0.455681,92331.6,0.0,0,0.0951,0.0995,0.6,0.0974,18.1,10.0,11.166,0.6916,52.9,52.9,2046.8,48.0,0.0,0.0,5.155,1,48,0.3491,0.6248,0.9212,0.0295,1.0137,159.0,50480.0,38.0,4017.1,1.898,0.226,0.044,4.6,6.0
ignition_001,4,2024-10-27 19:00:00,2.0,120,growth,True,0.838,1.0,True,vanWagner,2.5,2.09375,3.35,534.58,87.63,passive,0,0,0.283219,2.7021,0.284571,80596.0,0.0,0,0.0953,0.0994,0.6,0.0957,19.4,10.0,11.968,0.6916,54.1,54.1,2046.8,47.0,0.0,0.0,5.155,1,53,0.3491,0.6248,0.9212,0.0327,1.0152,159.0,50480.0,38.0,4017.1,1.898,0.226,0.044,4.6,6.0
ignition_001,5,2024-10-27 19:30:00,2.5,150,growth,True,0.838,1.0,True,vanWagner,2.5,2.09375,3.35,534.56,87.62,passive,0,0,0.412997,4.2079,0.314233,129777.3,0.0,0,0.0955,0.0992,0.6,0.0957,19.4,10.0,11.968,0.6916,54.1,54.1,2046.8,47.0,0.0,0.0,5.155,1,57,0.3491,0.6248,0.9212,0.0354,1.0164,159.0,50480.0,38.0,4017.1,1.898,0.226,0.044,4.6,6.0
ignition_001,6,2024-10-27 20:00:00,3.0,180,growth,True,0.759,1.0,True,vanWagner,2.5,1.89779,3.036465,508.17,87.28,passive,0,0,0.563898,5.65,0.267604,150901.2,0.0,0,0.0975,0.0992,0.6,0.1005,20.2,10.0,12.461,0.6916,54.1,54.1,2046.8,50.0,0.0,0.0,5.147,1,64,0.3491,0.6248,0.9212,0.0389,1.0184,159.0,50480.0,38.0,4017.1,1.898,0.226,0.044,4.6,6.0
ignition_001,7,2024-10-27 20:30:00,3.5,210,growth,True,0.759,1.0,True,vanWagner,2.5,1.89779,3.036465,507.7,87.07,passive,0,0,0.695585,6.292,0.189319,131687.2,0.0,0,0.0987,0.0993,0.6,0.1005,20.2,10.0,12.461,0.6916,54.1,54.1,2046.8,50.0,0.0,0.0,5.142,1,72,0.3491,0.6248,0.9212,0.0438,1.0207,159.0,50480.0,38.0,4017.1,1.898,0.226,0.044,4.6,6.0
ignition_001,8,2024-10-27 21:00:00,4.0,240,growth,True,0.675,1.0,True,vanWagner,2.5,1.6875,2.7,476.99,86.21,passive,0,0,0.854881,7.2382,0.186337,159295.8,0.0,0,0.1035,0.0999,0.6,0.1109,20.7,10.0,12.77,0.6916,53.1,53.1,2046.8,55.0,0.0,0.0,5.123,1,79,0.3491,0.6248,0.9212,0.0466,1.0227,159.0,50480.0,38.0,4017.1,1.898,0.226,0.044,4.6,6.0
ignition_001,9,2024-10-27 21:30:00,4.5,270,growth,True,0.675,1.0,True,vanWagner,2.5,1.6875,2.7,475.92,85.66,passive,0,0,0.978511,7.7664,0.126345,123629.9,0.0,0,0.1064,0.1004,0.6,0.1109,20.7,10.0,12.77,0.6916,53.1,53.1,2046.8,55.0,0.0,0.0,5.112,1,87,0.3491,0.6248,0.9212,0.0517,1.0252,159.0,50480.0,38.0,4017.1,1.898,0.226,0.044,4.6,6.0
ignition_001,10,2024-10-27 22:00:00,5.0,300,growth,True,0.591,0.933,True,vanWagner,2.5,1.378729,2.205966,428.66,84.76,passive,0,0,1.094461,8.0743,0.105943,115950.2,0.0,0,0.1113,0.1013,0.6,0.1188,22.3,10.0,13.757,0.6916,51.4,51.4,2046.8,60.0,0.0,0.0,5.094,1,94,0.3491,0.6248,0.9212,0.0541,1.0271,159.0,50480.0,38.0,4017.1,1.898,0.226,0.044,4.6,6.0
ignition_001,11,2024-10-27 22:30:00,5.5,330,growth,True,0.591,0.85,True,vanWagner,2.5,1.255628,2.009005,408.19,84.19,passive,0,0,1.204783,9.1079,0.09157,110322.6,0.0,0,0.1142,0.1022,0.6,0.1188,22.3,10.0,13.757,0.6916,51.4,51.4,2046.8,60.0,0.0,0.0,5.083,1,100,0.3491,0.6248,0.9212,0.0577,1.0289,159.0,50480.0,38.0,4017.1,1.898,0.226,0.044,4.6,6.0
ignition_001,12,2024-10-27 23:00:00,6.0,360,growth,True,0.512,0.767,True,vanWagner,2.5,0.982292,1.571667,359.56,83.05,passive,0,0,1.317591,9.5278,0.085617,112807.7,0.0,0,0.1202,0.1035,0.6,0.1295,21.0,10.0,12.955,0.6916,49.3,49.3,2046.8,65.0,0.0,0.0,5.062,1,106,0.3491,0.6248,0.9212,0.0611,1.0305,159.0,50480.0,38.0,4017.1,1.898,0.226,0.044,4.6,6.0
ignition_001,13,2024-10-27 23:30:00,6.5,390,growth,True,0.512,0.683,True,vanWagner,2.5,0.875521,1.400833,338.62,82.32,passive,0,0,1.42778,9.6219,0.077175,110189.0,0.0,0,0.1239,0.1048,0.6,0.1295,21.0,10.0,12.955,0.6916,49.3,49.3,2046.8,65.0,0.0,0.0,5.049,1,112,0.3491,0.6248,0.9212,0.0646,1.0323,159.0,50480.0,38.0,4017.1,1.898,0.226,0.044,4.6,6.0
ignition_001,14,2024-10-28 00:00:00,7.0,420,growth,True,0.445,0.6,True,vanWagner,2.5,0.667785,1.068457,292.98,79.23,passive,0,0,1.511779,9.8963,0.055563,83999.3,0.0,0,0.1406,0.1078,0.6,0.1663,19.6,10.0,12.091,0.6916,46.6,46.6,2046.8,77.0,0.0,0.0,5.002,1,118,0.3491,0.6248,0.9212,0.0679,1.034,159.0,50480.0,38.0,4017.1,1.898,0.226,0.044,4.6,6.0
ignition_001,15,2024-10-28 00:30:00,7.5,450,growth,True,0.445,0.517,True,vanWagner,2.5,0.575037,0.92006,270.51,77.25,passive,0,0,1.589348,10.0553,0.048805,77568.8,0.0,0,0.1507,0.1106,0.6,0.1663,19.6,10.0,12.091,0.6916,46.6,46.6,2046.8,77.0,0.0,0.0,4.977,1,122,0.3491,0.6248,0.9212,0.0705,1.0353,159.0,50480.0,38.0,4017.1,1.898,0.226,0.044,4.6,6.0
ignition_001,16,2024-10-28 01:00:00,8.0,480,growth,True,0.394,0.433,True,vanWagner,2.5,0.426337,0.682139,231.16,73.59,passive,0,0,1.652564,10.6157,0.038253,63216.0,0.0,0,0.17,0.115,0.6,0.1999,16.4,10.0,10.117,0.6916,44.6,44.6,2046.8,85.0,0.0,0.0,4.94,1,126,0.3491,0.6248,0.9212,0.0729,1.0364,159.0,50480.0,38.0,4017.1,1.898,0.226,0.044,4.6,6.0
ignition_001,17,2024-10-28 01:30:00,8.5,510,growth,True,0.394,0.35,True,vanWagner,2.5,0.344349,0.550958,206.94,71.22,passive,0,0,1.690803,10.6504,0.022616,38238.8,0.0,0,0.1818,0.1191,0.6,0.1999,16.4,10.0,10.117,0.6916,44.6,44.6,2046.8,85.0,0.0,0.0,4.921,1,130,0.3491,0.6248,0.9212,0.0748,1.0374,159.0,50480.0,38.0,4017.1,1.898,0.226,0.044,4.6,6.0
ignition_001,18,2024-10-28 02:00:00,9.0,540,growth,True,0.361,0.267,True,vanWagner,2.5,0.240716,0.371136,168.61,65.14,passive,0,0,1.723016,10.8688,0.018695,32212.5,0.0,0,0.2139,0.1262,0.6,0.2635,16.1,10.0,9.932,0.6916,42.6,42.6,2046.8,97.0,0.0,0.0,4.885,1,132,0.3491,0.6248,0.9212,0.076,1.038,159.0,50480.0,38.0,4017.1,1.898,0.226,0.044,4.6,6.0
ignition_001,19,2024-10-28 02:30:00,9.5,570,growth,True,0.361,0.183,True,vanWagner,2.5,0.165492,0.238577,134.71,61.23,passive,0,0,1.74528,10.9939,0.012757,22264.7,0.0,0,0.2334,0.1328,0.6,0.2635,16.1,10.0,9.932,0.6916,42.6,42.6,2046.8,97.0,0.0,0.0,4.867,1,133,0.3491,0.6248,0.9212,0.077,1.0385,159.0,50480.0,38.0,4017.1,1.898,0.226,0.044,4.6,6.0
ignition_001,20,2024-10-28 03:00:00,10.0,600,growth,True,0.35,0.1,True,vanWagner,2.5,0.0875,0.137195,102.03,59.86,passive,0,0,1.758048,11.0796,0.007262,12767.4,0.0,0,0.2385,0.1384,0.6,0.2462,18.0,10.0,11.104,0.6916,42.4,42.4,2046.8,94.0,0.0,0.0,4.862,1,135,0.3491,0.6248,0.9212,0.0777,1.0388,159.0,50480.0,38.0,4017.1,1.898,0.226,0.044,4.6,6.0
ignition_001,21,2024-10-28 03:30:00,10.5,630,growth,True,0.35,0.017,True,vanWagner,2.5,0.014583,0.022643,41.42,58.85,passive,0,0,1.76018,11.0964,0.001211,2132.0,0.0,0,0.2415,0.1436,0.6,0.2462,18.0,10.0,11.104,0.6916,42.4,42.4,2046.8,94.0,0.0,0.0,4.858,1,135,0.3491,0.6248,0.9212,0.0781,1.039,159.0,50480.0,38.0,4017.1,1.898,0.226,0.044,4.6,6.0
ignition_001,22,2024-10-28 04:00:00,11.0,660,growth,True,0.361,0.0,True,vanWagner,2.5,0.0,0.0,0.0,57.65,none,0,0,1.76018,11.0964,0.0,0.0,0.0,0,0.2456,0.1489,0.6,0.252,18.0,10.0,11.104,0.6916,41.9,41.9,2046.8,95.0,0.0,0.0,4.852,1,135,0.3491,0.6248,0.9212,0.0781,1.0391,159.0,50480.0,38.0,4017.1,1.898,0.226,0.044,4.6,6.0
ignition_001,23,2024-10-28 04:30:00,11.5,690,decay,False,,0.0,False,,0.0,0.0,0.0,0.0,0.0,none,0,0,1.403298,9.9803,0.0,0.0,0.212,1,,,,,18.0,10.0,,,41.9,,2046.8358,95.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ignition_001,24,2024-10-28 05:00:00,12.0,720,decay,False,,0.0,False,,0.0,0.0,0.0,0.0,0.0,none,0,0,1.123352,8.9295,0.0,0.0,0.2225,2,,,,,19.4,10.0,,,42.26,,2046.8358,94.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ignition_001,25,2024-10-28 05:30:00,12.5,750,decay,False,,0.0,False,,0.0,0.0,0.0,0.0,0.0,none,0,0,0.892928,7.9611,0.0,0.0,0.2296,3,,,,,19.4,10.0,,,42.26,,2046.8358,94.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
